City,Population (%),AQI,Green Coverage (%),Factories,Vehicles Count,Education Institutions Count,Hospitals Count,Waterborne Disease Cases,Respiratory Disease Cases,Year
Dhaka,55,164,32,62,1957635,417,205,6588,11040,2011
Barishal,82,70,45,146,1722567,469,72,2347,25101,2015
Narayanganj,78,224,16,94,240172,549,249,11740,14796,2015
Narayanganj,62,89,39,147,145294,584,167,6564,29890,2017
Khulna,94,286,31,83,1872453,654,122,9882,23639,2000
Gazipur,55,248,22,116,1611933,160,139,3398,3160,2021
Rajshahi,77,122,23,91,238210,487,391,11472,3170,2005
Gazipur,66,92,34,125,1109921,125,229,10595,10984,2008
Rangpur,61,216,8,134,885543,59,362,12716,7434,2004
Gazipur,88,249,42,140,1450800,83,108,4465,24363,2003
Dhaka,64,276,37,27,1776145,601,395,6866,1347,2006
Barishal,66,149,45,101,1209997,378,80,2767,6498,2014
Dhaka,53,145,6,12,1563745,529,239,12752,27958,2004
Gazipur,65,198,32,10,1487902,385,198,3340,20476,2003
Khulna,90,161,8,105,1155534,347,280,1354,10435,2005
Rangpur,93,243,37,31,1415835,635,54,6810,13540,2001
Rangpur,59,178,14,21,1504481,586,322,4988,8627,2021
Narayanganj,73,128,27,68,189769,332,154,5538,3300,2022
Gazipur,54,200,49,105,1429648,339,130,13997,17683,2023
Mymensingh,60,60,20,84,1832168,534,107,11598,14027,2002
Rangpur,66,149,14,32,96053,274,248,10717,24797,2000
Cumilla,52,202,41,11,1060985,688,58,2604,12134,2001
Rangpur,93,292,49,71,1420137,320,373,3312,3553,2002
Cumilla,98,274,37,113,1573953,528,322,6042,1163,2017
Rajshahi,80,95,41,121,1263800,492,130,6905,21669,2022
Dhaka,96,130,25,139,653822,70,51,3061,17602,2005
Dhaka,89,130,10,123,1036225,159,301,13092,13826,2000
Narayanganj,56,138,38,41,347249,491,340,14778,6436,2019
Narayanganj,85,74,12,122,331854,637,78,13175,2841,2009
Barishal,96,218,16,143,1909011,650,399,12882,5032,2002
Sylhet,70,197,39,18,1182291,599,180,3882,18061,2009
Cumilla,54,137,16,28,1335950,180,259,13655,5245,2023
Barishal,55,204,20,49,301134,90,340,10364,1090,2001
Narayanganj,57,227,40,122,331834,249,302,3479,14357,2006
Gazipur,78,278,16,14,1161237,77,41,14204,28217,2001
Sylhet,52,106,7,116,374312,270,293,1652,28278,2007
Rajshahi,50,229,9,49,816556,627,166,3341,19488,2010
Rangpur,92,234,31,86,1180309,71,164,5894,13639,2024
Barishal,98,217,34,131,491171,435,40,2960,3871,2003
Barishal,64,187,38,37,1238745,427,296,3293,18384,2017
Narayanganj,82,128,31,61,1743882,482,235,7212,20632,2005
Khulna,58,275,47,96,991385,155,252,10291,12478,2007
Sylhet,55,171,20,125,1288113,226,304,10528,25035,2017
Gazipur,52,126,11,111,1109803,425,164,13155,4340,2017
Narayanganj,58,298,37,99,514556,217,46,7664,29859,2001
Narayanganj,65,181,38,51,1177869,259,161,10714,29377,2021
Narayanganj,55,139,11,37,1455030,568,350,5210,22508,2005
Barishal,82,293,9,138,896366,608,238,1722,8179,2016
Rangpur,73,285,30,33,294164,529,252,11975,18374,2012
Chattogram,68,85,43,138,1368658,92,93,8287,17608,2017
Chattogram,65,112,5,79,448046,619,68,5708,13245,2005
Gazipur,98,187,19,87,1225521,483,30,6071,26626,2021
Mymensingh,70,166,44,74,1478053,233,209,10029,26303,2019
Barishal,87,88,30,118,645943,198,237,10848,26543,2023
Gazipur,88,69,10,76,1661786,178,192,1743,2176,2008
Khulna,74,59,37,102,1637070,523,357,12104,21901,2022
Mymensingh,63,268,26,95,1428640,262,149,11211,21443,2011
Rajshahi,69,211,8,106,884164,359,267,7459,15115,2005
Barishal,92,257,27,23,1812420,55,147,2801,24588,2021
Cumilla,74,296,9,142,548842,628,78,1016,14285,2011
Rangpur,76,170,18,147,1831403,696,74,13052,2636,2001
Cumilla,82,200,37,30,1257573,81,64,8215,7370,2005
Barishal,53,207,50,135,1512868,681,65,6818,11750,2009
Mymensingh,78,128,41,45,1258593,526,361,12926,6236,2001
Sylhet,72,240,18,26,461859,628,84,7545,18306,2019
Rajshahi,95,249,43,29,787512,149,59,1274,12784,2000
Dhaka,55,133,46,142,336239,401,210,11933,24012,2019
Chattogram,57,265,31,101,864035,429,36,6144,15357,2023
Barishal,91,199,26,105,697968,112,230,532,13178,2001
Sylhet,50,270,33,150,1232789,96,335,14207,14727,2017
Gazipur,78,68,17,141,154588,443,363,5302,21712,2011
Barishal,95,199,13,38,306208,674,40,10291,1460,2011
Cumilla,57,214,14,20,1735183,485,178,1613,13722,2011
Narayanganj,92,213,45,101,1324012,430,308,11696,29507,2006
Dhaka,91,169,36,40,1943738,244,186,3389,10018,2006
Khulna,82,120,26,81,1980168,358,24,1281,15611,2009
Gazipur,54,60,28,139,1548317,192,37,1684,21889,2021
Rajshahi,99,210,32,23,1941748,594,293,2824,13021,2021
Barishal,96,260,19,40,1589182,384,383,2176,14078,2023
Gazipur,72,151,7,84,1032283,446,360,13921,1723,2021
Cumilla,89,161,10,87,626863,416,207,3344,14243,2024
Gazipur,89,169,25,69,1161644,268,257,8465,14640,2018
Dhaka,73,77,20,36,1316371,468,400,3715,5315,2019
Mymensingh,53,111,11,56,1968175,371,389,4793,15676,2020
Chattogram,58,147,45,11,1994356,261,334,8049,16099,2009
Mymensingh,96,260,23,35,869035,77,194,6714,5654,2002
Gazipur,56,173,9,116,909061,291,376,4567,1832,2015
Mymensingh,92,96,48,100,1460532,191,307,7084,12201,2000
Rajshahi,85,169,34,143,1243151,309,268,5751,9571,2001
Mymensingh,62,102,14,140,1276610,258,187,11005,26811,2016
Dhaka,60,129,30,92,1402586,61,199,8255,4711,2011
Rangpur,80,103,9,134,994506,99,204,6747,6946,2004
Gazipur,95,170,6,77,1508179,341,150,7206,1535,2018
Rangpur,92,147,41,139,1644789,315,78,9508,28478,2013
Rajshahi,81,211,25,129,468819,67,106,12738,22155,2006
Khulna,98,168,26,16,1404636,183,296,3334,26242,2023
Gazipur,69,104,7,81,866580,632,271,4484,22780,2008
Rangpur,75,204,39,94,710199,433,225,13872,26784,2016
Rajshahi,60,168,14,58,424624,73,225,728,23462,2010
Rangpur,72,293,44,73,534813,380,111,14006,14229,2013
Rajshahi,59,176,22,114,205413,143,234,11591,5592,2017
Dhaka,85,73,7,80,1939539,398,52,9930,29463,2012
Rajshahi,53,180,30,94,1975429,291,28,8155,10662,2022
Dhaka,89,298,42,38,883194,153,130,6513,1057,2020
Gazipur,95,182,26,55,1690988,79,344,6535,29715,2022
Sylhet,64,52,42,135,1182841,421,104,4404,6293,2000
Dhaka,87,232,49,111,478647,589,237,1525,7471,2001
Narayanganj,56,184,12,81,523931,287,324,13672,5603,2022
Sylhet,92,100,23,57,1792504,300,81,7740,21192,2016
Rangpur,96,82,44,59,1746583,333,190,7398,24017,2011
Gazipur,89,189,7,103,745364,111,360,3779,5113,2023
Rajshahi,95,298,9,46,718169,261,21,8913,4524,2018
Cumilla,71,108,36,70,734718,532,116,6263,17640,2002
Rajshahi,100,223,42,66,316629,108,54,12141,2742,2018
Rajshahi,59,213,14,114,1615162,85,276,8108,3905,2018
Chattogram,72,227,37,18,545452,649,275,1593,11565,2009
Rajshahi,59,207,26,133,1216450,503,262,3052,27773,2007
Narayanganj,60,219,26,47,1868450,404,248,1689,19267,2004
Mymensingh,77,204,18,92,1070487,109,31,9819,18407,2006
Rajshahi,85,253,32,62,162589,290,139,7204,11130,2020
Gazipur,78,84,24,120,1537125,536,251,2494,15309,2020
Dhaka,52,296,35,29,1598049,136,395,3479,27477,2018
Khulna,50,298,42,46,555831,149,212,14954,4850,2009
Gazipur,84,115,42,21,350753,143,104,11227,27556,2019
Narayanganj,94,296,10,55,113950,471,368,14846,28066,2009
Rajshahi,93,146,49,42,318001,441,42,3023,16670,2021
Khulna,52,208,26,11,162594,522,198,3561,24748,2006
Chattogram,91,170,10,138,570801,85,119,12954,16145,2020
Narayanganj,82,96,50,16,1741305,594,36,3026,10176,2003
Narayanganj,58,249,22,89,1919699,348,176,1080,16895,2005
Dhaka,76,112,32,124,1564182,167,371,2549,15547,2010
Rangpur,74,106,48,103,635866,372,119,4733,26345,2007
Sylhet,74,66,32,103,1551355,524,264,6895,10510,2022
Rajshahi,86,60,30,17,1198346,194,238,3501,18131,2009
Chattogram,70,64,44,119,971369,282,224,13820,6487,2021
Chattogram,81,203,9,57,980421,152,180,6924,23461,2012
Gazipur,61,51,16,48,955549,599,47,5178,16460,2000
Chattogram,98,189,49,102,1895969,251,232,3079,8309,2019
Narayanganj,61,298,20,101,376205,696,241,13801,9434,2024
Dhaka,79,89,10,17,915486,237,208,7228,22138,2002
Rangpur,51,67,32,35,894791,632,159,13779,29161,2003
Cumilla,80,116,33,24,377232,228,342,8203,21716,2020
Barishal,71,180,44,94,466035,316,379,14969,16699,2001
Rajshahi,52,175,8,112,939968,347,346,4037,14503,2019
Barishal,58,282,15,71,820960,566,73,3210,26731,2021
Cumilla,84,88,40,36,321580,313,228,6186,29858,2019
Mymensingh,91,190,36,104,867392,302,366,7542,9923,2022
Rangpur,91,156,45,48,1817667,116,100,11318,9093,2015
Dhaka,57,244,10,49,1546785,667,368,10399,20367,2004
Chattogram,75,51,38,31,711082,583,64,4169,5824,2008
Khulna,81,97,40,110,849533,435,326,5271,12416,2014
Chattogram,54,147,28,141,72412,325,323,13496,19445,2020
Sylhet,75,208,40,54,1791198,683,139,3460,13816,2019
Gazipur,85,269,12,20,286041,140,220,2843,14704,2009
Barishal,83,144,21,131,283547,336,81,1227,3566,2012
Khulna,65,232,50,43,96201,97,143,13338,28864,2001
Sylhet,95,188,38,98,271188,642,33,9889,1269,2020
Narayanganj,71,283,44,140,253404,280,138,4479,4944,2006
Dhaka,72,262,39,128,1797569,565,241,13189,6990,2004
Rajshahi,97,88,9,44,1042447,512,270,555,23700,2018
Rangpur,58,287,32,94,1659317,343,315,14386,9540,2017
Dhaka,83,194,28,11,1374891,486,131,10477,21373,2023
Rangpur,86,121,6,36,304511,607,143,5695,9221,2001
Khulna,100,178,14,81,650703,619,21,13354,7443,2002
Chattogram,85,76,17,48,979697,374,206,1243,10261,2009
Khulna,91,94,23,89,1104579,89,215,5356,20126,2013
Rajshahi,76,189,13,41,1546033,626,369,14076,27976,2018
Sylhet,85,125,34,98,612811,425,174,14622,3212,2003
Dhaka,65,253,39,35,432709,220,391,12623,10637,2005
Khulna,84,215,19,125,509808,95,196,2643,10673,2012
Chattogram,91,80,34,22,892004,364,176,6322,3183,2015
Barishal,100,95,42,13,442764,69,122,9334,5561,2013
Sylhet,98,82,26,130,1593943,193,374,13767,28155,2001
Rangpur,100,264,46,106,1890383,409,350,14317,2215,2021
Gazipur,96,97,22,141,83914,645,349,9694,17336,2009
Rajshahi,87,184,21,21,1009576,224,146,7387,29819,2013
Mymensingh,54,279,19,104,730355,154,87,2426,8032,2013
Narayanganj,69,262,36,22,1554563,191,76,7813,26313,2019
Chattogram,76,236,35,67,107632,561,357,14299,27379,2022
Sylhet,99,142,7,79,214222,567,190,8441,26138,2015
Mymensingh,97,156,24,133,549732,174,132,9249,7249,2004
Dhaka,61,243,6,75,998688,667,150,6608,5060,2003
Rajshahi,71,126,43,30,1704885,547,29,10802,26340,2018
Chattogram,77,193,49,121,529130,683,29,4462,29324,2010
Rajshahi,59,269,38,48,545437,470,77,5151,1966,2020
Rangpur,55,225,50,72,1323767,691,135,3655,1189,2008
Narayanganj,95,118,27,54,1528968,234,342,2185,6709,2013
Barishal,55,51,17,130,947228,95,367,6659,7992,2000
Rangpur,93,154,38,146,999545,444,255,6938,20270,2010
Cumilla,94,218,38,93,1868900,98,372,9624,18773,2024
Sylhet,72,185,10,14,216569,670,382,8636,24808,2010
Khulna,82,56,38,49,536532,307,23,2400,12786,2014
Rajshahi,63,238,43,13,155508,321,323,1891,8357,2023
Barishal,81,91,33,15,1912600,174,137,3257,22923,2021
Chattogram,98,214,19,25,1719211,587,132,6692,17907,2008
Narayanganj,52,158,29,71,1314970,226,400,1213,21619,2019
Rangpur,78,121,8,130,1133628,562,130,4899,17667,2002
Sylhet,79,122,23,123,1570352,470,159,8477,6028,2019
Gazipur,63,185,27,96,1129197,477,331,6602,22369,2008
Gazipur,77,264,9,56,1191806,72,37,1564,20426,2016
Rangpur,55,92,21,28,976177,674,254,14064,13973,2010
Gazipur,62,162,36,104,289092,236,319,5184,10761,2004
Dhaka,87,217,33,12,1126377,314,280,2456,10083,2018
Mymensingh,98,257,6,23,664916,244,351,3325,19213,2002
Narayanganj,67,220,48,11,1814157,116,241,1381,18100,2019
Narayanganj,78,106,47,11,382740,474,116,1162,12096,2005
Narayanganj,86,108,20,88,206340,134,260,12797,10394,2009
Rajshahi,53,142,31,149,484283,531,222,9677,15452,2009
Narayanganj,93,125,27,29,471950,129,275,11539,17321,2020
Dhaka,93,161,5,46,137709,431,198,13211,28752,2008
Rajshahi,69,74,47,79,197818,570,190,10664,24144,2004
Rangpur,69,162,49,149,1973896,472,366,12534,26722,2011
Chattogram,63,277,50,58,1716517,112,143,8237,15810,2004
Rajshahi,91,66,28,114,565142,347,176,1455,12963,2003
Gazipur,64,103,46,126,1569806,447,194,3145,7382,2012
Barishal,89,298,18,28,1179872,101,353,8053,6539,2017
Narayanganj,58,288,43,138,175092,429,60,12845,22186,2005
Cumilla,61,224,31,82,578606,624,250,4057,29714,2006
Chattogram,50,186,49,92,1937027,54,261,765,15835,2012
Sylhet,75,77,18,142,409594,327,397,4746,25708,2017
Dhaka,59,139,12,111,638799,434,117,10105,22629,2023
Rangpur,61,205,9,115,1012466,352,189,12120,10702,2008
Gazipur,66,111,15,85,1202298,216,35,1160,18578,2008
Dhaka,78,187,16,77,1452284,148,178,9376,7287,2021
Chattogram,70,150,45,120,1578285,664,196,1773,5031,2010
Cumilla,52,138,15,16,1712976,389,261,13812,27470,2008
Barishal,59,295,46,47,987817,107,103,6962,2233,2002
Rajshahi,83,145,27,24,1995352,663,187,6359,29063,2015
Chattogram,72,101,50,101,1958069,219,316,3180,6123,2002
Gazipur,57,204,33,29,727235,263,173,13185,6240,2008
Cumilla,87,122,18,101,1835572,158,381,3463,23631,2008
Chattogram,72,266,30,73,86248,197,343,8928,4534,2021
Gazipur,94,235,27,51,573849,567,298,13254,14734,2009
Cumilla,97,190,33,150,844242,354,151,2156,18991,2022
Cumilla,66,149,45,108,1973727,662,317,13920,18726,2021
Rajshahi,99,132,44,116,1830790,666,258,13611,23012,2010
Barishal,77,206,46,71,1976292,453,350,1177,19765,2011
Narayanganj,82,196,23,41,221708,253,25,3306,2311,2011
Mymensingh,81,269,43,102,1360316,316,318,8989,21193,2016
Rajshahi,62,237,34,120,1390710,267,128,4591,20635,2019
Rajshahi,88,216,30,87,208434,375,221,9071,19595,2022
